FPR;Precision
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.324;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.323;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.322;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.321;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.32;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.319;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.318;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.317;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.316;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.315;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.314;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.313;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.312;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.311;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.31;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.309;0.004
0.308;0.004
0.308;0.004
0.308;0.004
0.308;0.004
0.308;0.004
0.308;0.004
0.308;0.004
